date,temperature,humidity,luminosity
2021-11-17 16:06:07.962,19.4,28.2,217
2021-11-17 16:06:05.684,19.4,28.2,216
2021-11-17 16:06:03.406,19.4,28.3,216
2021-11-17 16:06:01.129,19.4,28.3,216
2021-11-17 16:05:58.851,19.4,28.3,216
2021-11-17 16:05:56.574,19.4,28.3,217
2021-11-17 16:05:54.296,19.4,28.3,216
2021-11-17 16:05:52.019,19.4,28.3,216
2021-11-17 16:05:49.737,19.4,28.3,216
2021-11-17 16:05:47.459,19.4,28.4,199
2021-11-17 16:05:45.182,19.4,28.4,204
2021-11-17 16:05:42.904,19.4,28.4,201
2021-11-17 16:05:40.627,19.4,28.4,215
2021-11-17 16:05:38.349,19.4,28.4,216
2021-11-17 16:05:36.072,19.4,28.5,217
2021-11-17 16:05:33.794,19.4,28.5,216
2021-11-17 16:05:31.516,19.4,28.5,217
2021-11-17 16:05:29.239,19.4,28.5,217
2021-11-17 16:05:26.961,19.4,28.5,216
2021-11-17 16:05:24.684,19.4,28.5,216
2021-11-17 16:05:22.406,19.4,28.5,217
2021-11-17 16:05:20.129,19.4,28.5,217
2021-11-17 16:05:17.851,19.5,28.6,216
2021-11-17 16:05:15.574,19.5,28.6,216
2021-11-17 16:05:13.296,19.5,28.6,216
2021-11-17 16:05:11.018,19.5,28.6,216
2021-11-17 16:05:08.741,19.5,28.6,216
2021-11-17 16:05:06.463,19.5,28.6,216
2021-11-17 16:05:04.186,19.5,28.6,216
2021-11-17 16:05:01.908,19.5,28.6,216
2021-11-17 16:04:59.631,19.5,28.6,216
2021-11-17 16:04:57.353,19.5,28.6,216
2021-11-17 16:04:55.071,19.5,28.6,216
2021-11-17 16:04:52.794,19.5,28.6,216
2021-11-17 16:04:50.516,19.5,28.6,215
2021-11-17 16:04:48.239,19.5,28.6,216
2021-11-17 16:04:45.961,19.5,28.5,216
2021-11-17 16:04:43.683,19.5,28.5,217
2021-11-17 16:04:41.406,19.5,28.5,216
2021-11-17 16:04:39.128,19.5,28.5,216
2021-11-17 16:04:36.851,19.5,28.5,216
2021-11-17 16:04:34.573,19.5,28.5,216
